timestamp,reformattedDate,hour,symbol,side,size,price,tickDirection,trdMatchID,volTime,tickTime
2018-12-14 02:00:47.918,181219003038129,18121402,XBTUSD,Buy,7000,3245,PlusTick,25ec94f9-9815-9a09-5c90-f41cae4a7f25,7000,1
2018-12-14 02:02:11.157,181219003038129,18121402,XBTUSD,Buy,1,3242,PlusTick,bdec68a7-b5e9-7793-95c7-3ecac05c9d26,7001,2
2018-12-14 02:03:12.082,181219003038129,18121402,XBTUSD,Buy,3000,3240,PlusTick,417898da-507a-5050-073a-1f6cc82d05f6,10001,3
2018-12-14 02:03:17.532,181219003038129,18121402,XBTUSD,Buy,1250,3240,PlusTick,15930762-ccf0-4d86-2530-e19cb36b0b34,11251,4
2018-12-14 02:03:58.754,181219003038129,18121402,XBTUSD,Buy,10000,3240,PlusTick,74c3071d-5ce1-3814-6eca-58db45947f82,21251,5
2018-12-14 02:08:49.391,181219003038129,18121402,XBTUSD,Buy,229,3241,PlusTick,ac552e50-0dfe-e1e7-9709-83d8f78e8800,21480,6
2018-12-14 02:10:27.852,181219003038129,18121402,XBTUSD,Buy,1650,3239,PlusTick,bc55b701-1170-2012-dcc2-1870872b1184,23130,7
2018-12-14 02:14:50.868,181219003038129,18121402,XBTUSD,Buy,10,3245,PlusTick,c10c9785-84f4-58d0-c084-733f283fb22b,23140,8
2018-12-14 02:00:03.395,181219003038129,18121402,XBTUSD,Buy,6661,3245.5,ZeroPlusTick,b12f6965-0e70-0ae8-79e5-4e0596eae38f,29801,9
2018-12-14 02:00:06.724,181219003038129,18121402,XBTUSD,Buy,10,3245.5,PlusTick,0a6e1229-cf5c-fc20-e9b8-875e4d98fac7,29811,10
2018-12-14 02:00:07.992,181219003038129,18121402,XBTUSD,Sell,5,3245,ZeroMinusTick,929c72ed-f90e-c8bf-d1ee-f9ae6ccb5040,29816,11
2018-12-14 02:00:07.992,181219003038129,18121402,XBTUSD,Sell,5500,3245,ZeroMinusTick,f7d7a408-6827-e941-d1fb-711d22e287c8,35316,12
2018-12-14 02:00:12.728,181219003038129,18121402,XBTUSD,Sell,20,3245,ZeroMinusTick,f7ea22a2-0e21-c71d-e968-1582e487693b,35336,13
2018-12-14 02:00:14.479,181219003038129,18121402,XBTUSD,Sell,2000,3245,ZeroMinusTick,55a3681b-a665-52f8-bc54-1709abfe8336,37336,14
2018-12-14 02:00:02.769,181219003038129,18121402,XBTUSD,Sell,100,3245,ZeroMinusTick,3f533ddc-4351-2530-cdcd-6a0b6174a369,37436,15
2018-12-14 02:00:03.404,181219003038129,18121402,XBTUSD,Sell,504,3245,ZeroMinusTick,7fd1e1a0-256d-e7e9-1a73-7f3a1a3209f2,37940,16
